iter	Passed	Remaining
1153	14343	85089
1154	14348	85032
1155	14353	84980
1156	14367	84975
1157	14374	84931
1158	14380	84878
1159	14394	84875
1160	14407	84870
1161	14421	84867
1162	14436	84867
1163	14451	84869
1164	14457	84822
1165	14473	84829
1166	14487	84829
1167	14498	84805
1168	14512	84800
1169	14525	84796
1170	14539	84790
1171	14553	84787
1172	14567	84783
1173	14581	84779
1174	14586	84725
1175	14599	84716
1176	14604	84658
1177	14617	84654
1178	14631	84650
1179	14636	84595
1180	14641	84536
1181	14654	84529
1182	14667	84523
1183	14681	84518
1184	14686	84460
1185	14690	84403
1186	14704	84396
1187	14717	84390
1188	14724	84347
1189	14738	84341
1190	14751	84337
1191	14765	84328
1192	14778	84324
1193	14792	84319
1194	14805	84309
1195	14819	84308
1196	14834	84308
1197	14848	84304
1198	14861	84297
1199	14875	84292
1200	14881	84248
1201	14895	84240
1202	14908	84234
1203	14913	84180
1204	14927	84174
1205	14940	84169
1206	14946	84117
1207	14959	84110
1208	14966	84068
1209	14980	84063
1210	14993	84056
1211	15007	84052
1212	15021	84050
1213	15026	83994
1214	15041	83996
1215	15054	83990
1216	15068	83984
1217	15081	83977
1218	15087	83925
1219	15101	83922
1220	15108	83882
1221	15113	83830
1222	15127	83825
1223	15141	83819
1224	15154	83814
1225	15168	83808
1226	15173	83758
1227	15178	83706
1228	15186	83665
1229	15199	83661
1230	15213	83657
1231	15218	83601
1232	15231	83595
1233	15237	83545
1234	15250	83539
1235	15264	83533
1236	15278	83531
1237	15292	83526
1238	15305	83520
1239	15309	83461
1240	15323	83457
1241	15337	83453
1242	15352	83454
1243	15364	83444
1244	15370	83393
1245	15383	83388
1246	15397	83382
1247	15411	83378
1248	15424	83372
1249	15438	83367
1250	15442	83312
1251	15456	83305
1252	15466	83283
1253	15480	83277
1254	15493	83272
1255	15507	83267
1256	15521	83261
1257	15535	83256
1258	15548	83250
1259	15560	83234
1260	15570	83212
1261	15584	83206
1262	15588	83151
1263	15595	83109
1264	15609	83104
1265	15619	83082
1266	15634	83083
1267	15648	83078
1268	15661	83070
1269	15674	83064
1270	15680	83015
1271	15693	83008
1272	15700	82968
1273	15714	82962
1274	15727	82956
1275	15732	82903
1276	15745	82896
1277	15749	82838
1278	15762	82831
1279	15776	82827
1280	15790	82821
1281	15795	82772
1282	15809	82766
1283	15822	82761
1284	15837	82762
1285	15851	82756
1286	15864	82750
1287	15878	82744
1288	15891	82738
1289	15905	82731
1290	15919	82727
1291	15926	82687
1292	15939	82681
1293	15953	82675
1294	15966	82669
1295	15980	82663
1296	15983	82603
1297	15987	82550
1298	16000	82541
1299	16014	82538
1300	16028	82533
1301	16032	82477
1302	16045	82471
1303	16059	82465
1304	16073	82461
1305	16087	82455
1306	16100	82451
1307	16105	82400
1308	16119	82395
1309	16133	82393
1310	16137	82336
1311	16142	82287
1312	16156	82282
1313	16169	82277
1314	16173	82221
1315	16178	82170
1316	16191	82164
1317	16199	82127
1318	16213	82124
1319	16227	82121
1320	16231	82068
1321	16237	82021
1322	16250	82016
1323	16265	82013
1324	16278	82008
1325	16292	82003
1326	16299	81964
1327	16313	81959
1328	16327	81954
1329	16341	81950
1330	16354	81944
1331	16359	81894
1332	16363	81839
1333	16366	81781
1334	16379	81776
1335	16393	81772
1336	16398	81720
1337	16402	81670
1338	16406	81616
1339	16420	81611
1340	16424	81560
1341	16438	81554
1342	16451	81547
1343	16465	81542
1344	16469	81492
1345	16476	81454
1346	16481	81402
1347	16485	81352
1348	16499	81345
1349	16512	81339
1350	16515	81282
1351	16519	81229
1352	16532	81219
1353	16546	81217
1354	16561	81216
1355	16574	81212
1356	16588	81206
1357	16595	81170
1358	16599	81116
1359	16613	81111
1360	16626	81104
1361	16632	81059
1362	16635	81006
1363	16649	81001
1364	16656	80964
1365	16660	80913
1366	16665	80864
1367	16679	80860
1368	16683	80807
1369	16688	80762
1370	16702	80757
1371	16715	80751
1372	16729	80747
1373	16732	80692
1374	16746	80687
1375	16752	80643
1376	16766	80643
1377	16778	80627
1378	16791	80621
1379	16805	80617
1380	16819	80613
1381	16833	80613
1382	16847	80607
1383	16861	80603
1384	16865	80553
1385	16878	80546
1386	16892	80542
1387	16906	80537
1388	16910	80484
1389	16923	80480
1390	16937	80474
1391	16942	80426
1392	16955	80418
1393	16958	80366
1394	16972	80362
1395	16986	80357
1396	16999	80350
1397	17013	80346
1398	17018	80298
1399	17031	80291
1400	17045	80285
1401	17058	80280
1402	17069	80263
1403	17083	80257
1404	17087	80207
1405	17091	80155
1406	17104	80150
1407	17118	80143
1408	17122	80094
1409	17126	80043
1410	17139	80036
1411	17144	79993
1412	17158	79985
1413	17171	79981
1414	17176	79934
